Subject;Area;Word_ID;Accuracy;Type;Word_ID_num;resp_resp
5;cz;caldo;1;Unrelated;13;0
5;cz;carina;1;Unrelated;18;0
5;cz;forno;1;Unrelated;33;0
5;cz;giovane;0;Unrelated;41;1
5;cz;gomma;1;Unrelated;43;0
5;cz;masticare;1;Unrelated;55;0
5;cz;monarchia;1;Unrelated;57;0
5;cz;pane;1;Unrelated;62;0
5;cz;pasta;1;Unrelated;63;0
5;cz;piacevole;1;Unrelated;66;0
5;cz;potere;1;Unrelated;75;0
5;cz;ragazza;1;Unrelated;78;0
5;cz;re;1;Unrelated;80;0
5;cz;ruota;1;Unrelated;82;0
5;cz;trono;1;Unrelated;92;0
6;cedx;ago;0;Critical_lure;1;1
6;cedx;amaro;0;Critical_lure;4;1
6;cedx;bandiera;0;Critical_lure;8;1
6;cedx;fiume;0;Critical_lure;31;1
6;cedx;ladro;0;Critical_lure;50;1
6;cedx;musica;0;Critical_lure;60;1
6;cedx;ragno;0;Critical_lure;79;1
6;cedx;soffice;0;Critical_lure;88;1
6;cedx;alcolico;1;Studied_word;2;1
6;cedx;arpa;1;Studied_word;5;1
6;cedx;assassino;1;Studied_word;6;1
6;cedx;asta;1;Studied_word;7;1
6;cedx;bandito;1;Studied_word;9;1
6;cedx;cammello;1;Studied_word;16;1
6;cedx;concerto;1;Studied_word;19;1
6;cedx;corrente;1;Studied_word;20;1
6;cedx;digerire;1;Studied_word;23;1
6;cedx;dolce;1;Studied_word;24;1
6;cedx;dolore;0;Studied_word;27;0
6;cedx;filo;1;Studied_word;30;1
6;cedx;foce;1;Studied_word;32;1
6;cedx;furfante;1;Studied_word;37;1
6;cedx;italia;1;Studied_word;48;1
6;cedx;italiana;1;Studied_word;49;1
6;cedx;materasso;1;Studied_word;56;1
6;cedx;morbido;1;Studied_word;58;1
6;cedx;mosca;1;Studied_word;59;1
6;cedx;nota;1;Studied_word;61;1
6;cedx;pesce;0;Studied_word;65;0
6;cedx;piume;1;Studied_word;71;1
6;cedx;tela;1;Studied_word;90;1
6;cedx;velenoso;0;Studied_word;95;0
6;cedx;bucata;1;Unrelated;12;0
6;cedx;caldo;0;Unrelated;13;1
6;cedx;carina;1;Unrelated;18;0
6;cedx;forno;1;Unrelated;33;0
6;cedx;giovane;1;Unrelated;41;0
6;cedx;gomma;1;Unrelated;43;0
6;cedx;masticare;1;Unrelated;55;0
6;cedx;monarchia;1;Unrelated;57;0
6;cedx;pane;1;Unrelated;62;0
6;cedx;pasta;1;Unrelated;63;0
6;cedx;piacevole;1;Unrelated;66;0
6;cedx;potere;1;Unrelated;75;0
6;cedx;ragazza;1;Unrelated;78;0
6;cedx;re;1;Unrelated;80;0
6;cedx;ruota;1;Unrelated;82;0
6;cedx;trono;1;Unrelated;92;0
6;cz;alto;0;Critical_lure;3;1
6;cz;freddo;0;Critical_lure;35;1
6;cz;fumo;0;Critical_lure;36;1
6;cz;giustizia;0;Critical_lure;42;1
6;cz;lampada;0;Critical_lure;51;1
6;cz;lento;0;Critical_lure;52;1
6;cz;penna;0;Critical_lure;64;1
6;cz;rabbia;0;Unrelated;77;1
6;cz;sedia;0;Critical_lure;87;1
6;cz;basso;1;Studied_word;10;1
6;cz;calmo;1;Studied_word;14;1
6;cz;calore;1;Studied_word;15;1
6;cz;desiderio;1;Studied_word;22;1
6;cz;equita';1;Studied_word;29;1
6;cz;ghiaccio;1;Studied_word;39;1
6;cz;gigante;0;Studied_word;40;0
6;cz;grattacielo;1;Studied_word;44;1
6;cz;inchiostro;1;Studied_word;45;1
6;cz;inquinamento;1;Studied_word;46;1
6;cz;luce;1;Studied_word;53;1
6;cz;pioggia;1;Studied_word;68;1
6;cz;pipa;1;Studied_word;69;1
6;cz;piuma;1;Studied_word;70;1
6;cz;polizia;1;Studied_word;72;1
6;cz;polmoni;1;Studied_word;73;1
6;cz;poltrona;1;Studied_word;74;1
6;cz;privata;0;Studied_word;76;0
6;cz;scomoda;1;Studied_word;85;1
6;cz;scuola;1;Studied_word;86;1
6;cz;tavolo;1;Studied_word;89;1
6;cz;tiepido;1;Studied_word;91;1
6;cz;valzer;1;Studied_word;94;1
6;cz;veloce;1;Studied_word;96;1
6;cz;bello;1;Unrelated;11;0
6;cz;caramella;1;Unrelated;17;0
6;cz;crosata;1;Unrelated;21;0
6;cz;dolce;0;Unrelated;25;1
6;cz;dolere;1;Unrelated;26;0
6;cz;donna;1;Unrelated;28;0
6;cz;forza;1;Unrelated;34;0
6;cz;furioso;1;Unrelated;38;0
6;cz;ira;1;Unrelated;47;0
6;cz;malcontento;1;Unrelated;54;0
6;cz;piede;1;Unrelated;67;0
6;cz;ritmo;1;Unrelated;81;0
6;cz;sapore;1;Unrelated;83;0
6;cz;scarpa;1;Unrelated;84;0
6;cz;uomo;1;Unrelated;93;0
7;cedx;ago;1;Critical_lure;1;0
7;cedx;amaro;1;Critical_lure;4;0
7;cedx;bandiera;0;Critical_lure;8;1
7;cedx;fiume;1;Critical_lure;31;0
7;cedx;ladro;1;Critical_lure;50;0
7;cedx;musica;1;Critical_lure;60;0
7;cedx;ragno;1;Critical_lure;79;0
7;cedx;soffice;1;Critical_lure;88;0
7;cedx;alcolico;0;Studied_word;2;0
7;cedx;arpa;1;Studied_word;5;1
7;cedx;assassino;1;Studied_word;6;1
7;cedx;asta;1;Studied_word;7;1
7;cedx;bandito;1;Studied_word;9;1
7;cedx;cammello;1;Studied_word;16;1
7;cedx;concerto;1;Studied_word;19;1
7;cedx;corrente;1;Studied_word;20;1
7;cedx;digerire;1;Studied_word;23;1
7;cedx;dolce;1;Studied_word;24;1
7;cedx;dolore;1;Studied_word;27;1
7;cedx;filo;1;Studied_word;30;1
7;cedx;foce;1;Studied_word;32;1
7;cedx;furfante;1;Studied_word;37;1
7;cedx;italia;1;Studied_word;48;1
7;cedx;italiana;1;Studied_word;49;1
7;cedx;materasso;1;Studied_word;56;1
7;cedx;morbido;1;Studied_word;58;1
7;cedx;mosca;1;Studied_word;59;1
7;cedx;nota;1;Studied_word;61;1
7;cedx;pesce;1;Studied_word;65;1
7;cedx;piume;1;Studied_word;71;1
7;cedx;tela;1;Studied_word;90;1
7;cedx;velenoso;1;Studied_word;95;1
7;cedx;bucata;1;Unrelated;12;0
7;cedx;caldo;0;Unrelated;13;1
7;cedx;carina;1;Unrelated;18;0
7;cedx;forno;1;Unrelated;33;0
7;cedx;giovane;1;Unrelated;41;0
7;cedx;gomma;0;Unrelated;43;1
7;cedx;masticare;1;Unrelated;55;0
7;cedx;monarchia;0;Unrelated;57;1
7;cedx;pane;1;Unrelated;62;0
7;cedx;pasta;1;Unrelated;63;0
7;cedx;piacevole;1;Unrelated;66;0
7;cedx;potere;1;Unrelated;75;0
7;cedx;ragazza;1;Unrelated;78;0
7;cedx;re;1;Unrelated;80;0
7;cedx;ruota;1;Unrelated;82;0
7;cedx;trono;1;Unrelated;92;0
7;cz;alto;1;Critical_lure;3;0
7;cz;freddo;0;Critical_lure;35;1
7;cz;fumo;1;Critical_lure;36;0
7;cz;giustizia;0;Critical_lure;42;1
7;cz;lampada;1;Critical_lure;51;0
7;cz;lento;1;Critical_lure;52;0
7;cz;penna;1;Critical_lure;64;0
7;cz;sedia;1;Critical_lure;87;0
7;cz;basso;1;Studied_word;10;1
7;cz;calmo;0;Studied_word;14;0
7;cz;calore;1;Studied_word;15;1
7;cz;desiderio;1;Studied_word;22;1
7;cz;equita';1;Studied_word;29;1
7;cz;ghiaccio;1;Studied_word;39;1
7;cz;gigante;1;Studied_word;40;1
7;cz;grattacielo;1;Studied_word;44;1
7;cz;inchiostro;1;Studied_word;45;1
7;cz;inquinamento;1;Studied_word;46;1
7;cz;luce;1;Studied_word;53;1
7;cz;pioggia;0;Studied_word;68;0
7;cz;pipa;1;Studied_word;69;1
7;cz;piuma;1;Studied_word;70;1
7;cz;polizia;0;Studied_word;72;0
7;cz;polmoni;1;Studied_word;73;1
7;cz;poltrona;1;Studied_word;74;1
7;cz;privata;1;Studied_word;76;1
7;cz;scomoda;1;Studied_word;85;1
7;cz;scuola;1;Studied_word;86;1
